index,name,iso_a3,region,type,marker_lat,marker_long,country_popup,region_popup,cost_popup,indirect_cost_popup,ref_popup,currency,currency_yr,epi_stage,epi_stage_popup,WESP_18_class,WESP_18_class_popup,cost_IBD,cost_CD,cost_UC,cost_IBD_popup,cost_CD_popup,cost_UC_popup,cost_most_recent,pop_based,UN_geoscheme,decade,Notes,Developer_Notes
11,MINSK,NA,Eastern Europe,region,53.9006,27.559,"<p style=""font-size: 150%""><b>Eastern Europe</b></p>",NA,"<p style=""font-size: 125%""><b>Multi-national (Croatia, Czech Republic, Estonia, Hungary, Lithuania, Moldova, Romania, Russia):</b> The eastern European countries from a 2010 cohort involving participants from 20 European countries and Israel, were found to have the following mean annual disease-associated costs.</p>
<table width=""400"">
<tbody>
<tr>
<td width=""100"">&nbsp;</td>
<td width=""100""><b>Crohn's Disease</b></td>
<td width=""100""><b>Ulcerative Colitis</b></td>
<td width=""100""><b>IBDU</b></td>
</tr>
<tr>
<td>Total:</td>
<td>&euro; 4,812</td>
<td>&euro; 2,464</td>
<td>&euro; 1,814</td>
</tr>
<tr>
<td>Biologics:</td>
<td>&euro; 399</td>
<td>&euro; 0</td>
<td>&euro; 0</td>
</tr>
</tbody>
</table>
<p style=""font-size: 125%""> Across both western and eastern Europe, predictors of higher costs included diagnosis, age and Montreal classification. There was limited use of biologics (CD 20%, UC 8%) (<a href='https://academic.oup.com/ibdjournal/article/21/1/121/4604246?login=true' target='_blank'>Burisch 2015</a>).<br><br>

A continuation of the project until 2015 yielded the following.</p>
<table width=""400"">
<tbody>
<tr>
<td width=""100""></td>
<td width=""100""><b>Crohn's Disease</b></td>
<td width=""100""><b>Ulcerative Colitis</b></td>
<td width=""100""><b>IBDU</b></td>
</tr>
<tr>
<td>Total:</td>
<td>&euro; 1,976</td>
<td>&euro; 1,107</td>
<td>&euro; 866</td>
</tr>
</tbody>
</table>
<p style=""font-size: 125%"">West-East differences derive from disparate health systems and availability of biologics. CD more expensive than UC or IBDU.  Decreasing total cost, increasing cost of biologics, from year 1 onwards. Higher costs in severe phenotype, young age, smokers (CD and UC) (<a href='https://www.thelancet.com/journals/langas/article/PIIS2468-1253(20)30012-1/fulltext' target='_blank'>Burisch 2020</a>).</p>

",NA,"<p style=""font-size: 125%"">References: <a href='https://academic.oup.com/ibdjournal/article/21/1/121/4604246?login=true' target='_blank'>Burisch 2015</a>, <a href='https://www.thelancet.com/journals/langas/article/PIIS2468-1253(20)30012-1/fulltext' target='_blank'>Burisch 2020</a></p>",,,NA,NA,NA,NA,,,,"<p style=""font-size: 125%"">Overall Cost: </p>","<p style=""font-size: 125%"">Annual Cost of Crohn's Disease: </p>","<p style=""font-size: 125%"">Annual Cost of Ulcerative Colitis: </p>",,,,,,
12,Finland,FIN,NA,country,,,"<p style=""font-size: 150%""><b>Finland</b></p>",NA,NA,"<p style=""font-size: 125%""><b>National:</b> A 2015 to 2016 cohort experienced the following mean annual societal costs depending on absenteeism or presenteeism.<br>
<table width=""400"">
<tbody>
<tr>
<td width=""150"">&nbsp;</td>
<td width=""125""><b>Absenteeism</b></td>
<td width=""125""><b>Presenteeism</b></td>
</tr>
<tr>
<td>CD:</td>
<td>&euro; 724</td>
<td>&euro; 763</td>
</tr>
<tr>
<td>UC:</td>
<td>&euro; 750</td>
<td>&euro; 589</td>
</tr>
<tr>
<td>Men:</td>
<td>&euro; 531</td>
<td>&euro; 495</td>
</tr>
<tr>
<td>Women:</td>
<td>&euro; 955</td>
<td>&euro; 802</td>
</tr>
<tr>
<td>Biologics:</td>
<td>&euro; 933</td>
<td>&euro; 1,079</td>
</tr>
<tr>
<td>Non-biologics:</td>
<td>&euro; 702</td>
<td>&euro; 564</td>
</tr>
</tbody>
</table><br>
A human capital approach was used. Costs did not differ greatly between absenteeism and presentieeism groups (<a href='https://www.tandfonline.com/doi/full/10.1080/00365521.2021.1908416' target='_blank'>Rankala 2021</a>).</p>","<p style=""font-size: 125%"">References: <a href='https://www.tandfonline.com/doi/full/10.1080/00365521.2021.1908416' target='_blank'>Rankala 2021</a></p>",€,,E,"<p style=""font-size: 125%"">Epidemiological stage: emergence</p>",developed,"<p style=""font-size: 125%"">Country status: developed</p>",,,,"<p style=""font-size: 125%"">Overall Cost: </p>","<p style=""font-size: 125%"">Annual Cost of Crohn's Disease: </p>","<p style=""font-size: 125%"">Annual Cost of Ulcerative Colitis: </p>",,,,,,
13,Hungary,HUN,NA,country,,,"<p style=""font-size: 150%""><b>Hungary</b></p>",NA,NA,"<p style=""font-size: 125%""><b>National:</b> A 2012 to 2013 cohort had the following mean societal cost per person.<br>
<table width=""400"">
<tbody>
<tr>
<td width=""100"">&nbsp;</td>
<td width=""100""><b>IBD</b></td>
<td width=""100""><b>Crohn's Disease</b></td>
<td width=""100""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td>Disability pension (HCA):</td>
<td>&euro; 1,450</td>
<td>&euro; 1,545</td>
<td>&euro; 1,310</td>
</tr>
<tr>
<td>Disability pension (FCM):</td>
<td>&euro; 11.30</td>
<td>~</td>
<td>~</td>
</tr>
<tr>
<td>Sick leave:&nbsp;</td>
<td>&euro; 430</td>
<td>&euro; 395</td>
<td>&euro; 485</td>
</tr>
<tr>
<td>Total productivity loss (HCA):</td>
<td>&euro; 1,880</td>
<td>&euro; 1,940</td>
<td>&euro; 1,795</td>
</tr>
<tr>
<td>Total productivity loss (FCM):</td>
<td>&euro; 445</td>
<td>~</td>
<td>~</td>
</tr>
<tr>
<td>Presenteeism:</td>
<td>~</td>
<td>&euro; 2,605</td>
<td>&euro; 2,410</td>
</tr>
</tbody>
</table><br>
A human capital approach and a friction cost method were used. The 2010 national full disability pension rates used for comparison. Full disability pension (DP) was more prevalent in CD (9.2%, p=0.009) but not in UC (6.6%, p=0.56) vs. background population (5.5%). Risk factors for DP in CD: age, previous surgery and arthritis/arthralgia (<a href='https://link.springer.com/article/10.1007/s10198-014-0603-7' target='_blank'>Mandel 2014</a>).</p>","<p style=""font-size: 125%"">References: <a href='https://link.springer.com/article/10.1007/s10198-014-0603-7' target='_blank'>Mandel 2014</a></p>",€,,E,"<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>",developed,"<p style=""font-size: 125%"">Country status: developed</p>",,,,"<p style=""font-size: 125%"">Overall Cost: </p>","<p style=""font-size: 125%"">Annual Cost of Crohn's Disease: </p>","<p style=""font-size: 125%"">Annual Cost of Ulcerative Colitis: </p>",,,,,,
14,Italy,ITA,NA,country,,,"<p style=""font-size: 150%""><b>Italy</b></p>",NA,"<p style=""font-size: 125%""><b>National:</b> A cohort with Crohn's disease observed from 2006 to 2010 had the following annual mean disease-associated costs.<br>
<table width=""275"">
<tbody>
<tr>
<td width=""150"">&nbsp;</td>
<td width=""125""><b>Crohn's Disease</b></td>
</tr>
<tr>
<td>Total:</td>
<td>&euro; 18,838</td>
</tr>
<tr>
<td>Medications:</td>
<td>&euro; 9,366</td>
</tr>
<tr>
<td>Hospitalization:</td>
<td>&euro; 1,688</td>
</tr>
</tbody>
</table><br>
(<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3410726/' target='_blank'>Benedini 2012</a>).</p>","<p style=""font-size: 125%""><b>National:</b> A cohort with Crohn's disease observed from 2006 to 2010 had the following annual mean disease-associated societal costs.<br>
<table width=""285"">
<tbody>
<tr>
<td width=""160"">&nbsp;</td>
<td width=""125""><b>Crohn's Disease</b></td>
</tr>
<tr>
<td>Productivity losses:</td>
<td>&euro; 2,784</td>
</tr>
<tr>
<td>Transport/Home assistance:</td>
<td>&euro; 899</td>
</tr>
<tr>
<td>Total indirect:</td>
<td>&euro; 3,685</td>
</tr>
</tbody>
</table><br>
(<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3410726/' target='_blank'>Benedini 2012</a>).</p>","<p style=""font-size: 125%"">References: <a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3410726/' target='_blank'>Benedini 2012</a></p>",€,,CP,"<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>",major developed,"<p style=""font-size: 125%"">Country status: major developed</p>",,,,"<p style=""font-size: 125%"">Overall Cost: </p>","<p style=""font-size: 125%"">Annual Cost of Crohn's Disease: </p>","<p style=""font-size: 125%"">Annual Cost of Ulcerative Colitis: </p>",,,,,,
15,Japan,JPN,NA,country,,,"<p style=""font-size: 150%""><b>Japan</b></p>",NA,NA,"<p style=""font-size: 125%""><b>National:</b> A cohort recruited between 2012 and 2014 had the following annual mean societal costs related to their disease.<br>
<table width=""275"">
<tbody>
<tr>
<td width=""150"">&nbsp;</td>
  <td width=""125""><b>Indirect Cost</b></td>
</tr>
<tr>
<td>IBD:</td>
<td>JPY 1,546,610</td>
</tr>
<tr>
<td>CD:</td>
<td>JPY 1,645,068&nbsp;</td>
</tr>
<tr>
<td>UC:</td>
<td>JPY 1,562,054</td>
</tr>
<tr>
<td>Controls:</td>
<td>JPY 1,067,331</td>
</tr>
</tbody>
</table><br>
Based on self-reported IBD diagnoses. No difference between CD and UC patients (<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6419598/' target='_blank'>Yamabe 2019</a>).</p>","<p style=""font-size: 125%"">References: <a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6419598/' target='_blank'>Yamabe 2019</a></p>",JPY,,CP,"<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>",major developed,"<p style=""font-size: 125%"">Country status: major developed</p>",,,,"<p style=""font-size: 125%"">Overall Cost: </p>","<p style=""font-size: 125%"">Annual Cost of Crohn's Disease: </p>","<p style=""font-size: 125%"">Annual Cost of Ulcerative Colitis: </p>",,,,,,
16,Netherlands,NLD,NA,country,,,"<p style=""font-size: 150%""><b>Netherlands</b></p>",NA,"<p style=""font-size: 125%""><b>National:</b> A cohort of prevalent IBD cases had the following mean annual disease-associated costs in 2011.<br>
<table width=""400"">
<tbody>
<tr>
<td width=""150"">&nbsp;</td>
<td width=""125""><b>Crohn's Disease</b></td>
<td width=""125""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td>Total:</td>
<td>&euro; 6,500</td>
<td>&euro; 3,961</td>
</tr>
<tr>
<td>Outpatients:</td>
<td>&euro; 456</td>
<td>&euro; 274</td>
</tr>
<tr>
<td>Diagnostics:</td>
<td>&euro; 162</td>
<td>&euro; 119</td>
</tr>
<tr>
<td>Medications:</td>
<td>&euro; 414</td>
<td>&euro; 652</td>
</tr>
<tr>
<td>Biologics:</td>
<td>&euro; 4,157</td>
<td>&euro; 748</td>
</tr>
<tr>
<td>Hospitalization:</td>
<td>&euro; 1,261</td>
<td>&euro; 555</td>
</tr>
<tr>
<td>Surgery:</td>
<td>&euro; 40</td>
<td>&euro; 33</td>
</tr>
</tbody>
</table><br>
Biologics accounted for 64% of the cost in CD, 19% in UC. Mesalamine and biologics were the main cost drivers among medications in UC; in CD, the main driver was biologics (<a href='https://gut.bmj.com/content/63/1/72.long' target='_blank'>Van der Valk 2014</a>).</p>","<p style=""font-size: 125%""><b>National:</b> A cohort of prevalent IBD cases had the following mean annual disease-associated societal costs in 2011.<br>
<table width=""400"">
<tbody>
<tr>
<td width=""150"">&nbsp;</td>
<td width=""125""><b>Crohn's Disease</b></td>
<td width=""125""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td>Total productivity losses:</td>
<td>&euro; 1,304</td>
<td>&euro; 1,580</td>
</tr>
<tr>
<td>Sick leave, patients:</td>
<td>&euro; 1,156</td>
<td>&euro; 1,448</td>
</tr>
<tr>
<td>Sick leave, caregivers:</td>
<td>&euro; 72</td>
<td>&euro; 60</td>
</tr>
<tr>
<td>Lost earnings:</td>
<td>&euro; 76</td>
<td>&euro; 72</td>
</tr>
</tbody>
</table><br>
Total productivity losses were 16% and 39% of total costs in CD and UC, respectively (<a href='https://gut.bmj.com/content/63/1/72.long' target='_blank'>Van der Valk 2014</a>).</p>","<p style=""font-size: 125%"">References: <a href='https://gut.bmj.com/content/63/1/72.long' target='_blank'>Van der Valk 2014</a>, <a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7885332/' target='_blank'>Van Gennep 2021</a></p>",€,,CP,"<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>",developed,"<p style=""font-size: 125%"">Country status: developed</p>",,,,"<p style=""font-size: 125%"">Overall Cost: </p>","<p style=""font-size: 125%"">Annual Cost of Crohn's Disease: </p>","<p style=""font-size: 125%"">Annual Cost of Ulcerative Colitis: </p>",,,,,,
17,AMSTERDAM,NLD,Amsterdam,municipality,52.3676,4.9041,"<p style=""font-size: 150%""><b>Netherlands</b></p>","<p style=""font-size: 150%""><b>Amsterdam</b></p>",NA,"<p style=""font-size: 125%""><b>Amsterdam:</b> A 2017 to 2019 cohort had the following mean annual disease-associated societal cost per person.<br>
<table width=""275"">
<tbody>
<tr>
<td width=""150"">&nbsp;</td>
<td width=""125""><b>IBD</b></td>
</tr>
<tr>
<td>Absenteeism:</td>
<td>&euro; 1,738</td>
</tr>
<tr>
<td>Presenteeism:</td>
<td>&euro; 5,478</td>
</tr>
<tr>
<td>Overall work productivity losses:</td>
<td>&euro; 6,597</td>
</tr>
</tbody>
</table><br>
A human capital approach was used. Health-related quality of life correlated with productivity losses. Active disease, perianal disease, and fatigue predicted productivity losses. 50% of patients incurred productivity losses (<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7885332/' target='_blank'>Van Gennep 2021</a>).</p>","<p style=""font-size: 125%"">References: <a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7885332/' target='_blank'>Van Gennep 2021</a></p>",€,,CP,"<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>",developed,"<p style=""font-size: 125%"">Country status: developed</p>",,,,"<p style=""font-size: 125%"">Overall Cost: </p>","<p style=""font-size: 125%"">Annual Cost of Crohn's Disease: </p>","<p style=""font-size: 125%"">Annual Cost of Ulcerative Colitis: </p>",,,,,,
18,Poland,POL,NA,country,,,"<p style=""font-size: 150%""><b>Poland</b></p>",NA,NA,"<p style=""font-size: 125%""><b>National:</b> A cohort of ulcerative colitis patients obsesrved during 2012 incurred the following mean annual societal costs.<br>
<table width=""275"">
<tbody>
<tr>
<td width=""150"">&nbsp;</td>
<td width=""125""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td>Absenteeism:</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>GPD</td>
<td>&euro; 1,260</td>
</tr>
<tr>
<td>GVA</td>
<td>&euro; 3,034</td>
</tr>
<tr>
<td>GI</td>
<td>&euro; 928</td>
</tr>
</tbody>
</table><br>
Macroeconomic indicators include: Gross Domestic Product (GDP), Gross Value Added (GVA), and Gross Income (GI). Most costs caused by sick leave (<a href='https://www.tandfonline.com/doi/abs/10.1586/14737167.2016.1085802?journalCode=ierp20' target='_blank'>Malinowski 2015</a>).</p>","<p style=""font-size: 125%"">References: <a href='https://www.tandfonline.com/doi/abs/10.1586/14737167.2016.1085802?journalCode=ierp20' target='_blank'>Malinowski 2015 </a></p>",€,,AI,"<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>",developed,"<p style=""font-size: 125%"">Country status: developed</p>",,,,"<p style=""font-size: 125%"">Overall Cost: </p>","<p style=""font-size: 125%"">Annual Cost of Crohn's Disease: </p>","<p style=""font-size: 125%"">Annual Cost of Ulcerative Colitis: </p>",,,,,,
19,South Korea,KOR,NA,country,,,"<p style=""font-size: 150%""><b>South Korea</b></p>",NA,"<p style=""font-size: 125%""><b>National:</b> A cohort followed between 2005 and 2015 had the following mean annual disease-associated costs.<br>
<table width=""375"">
<tbody>
<tr>
<td width=""125"">&nbsp;</td>
<td width=""125""><b>Crohn's Disease</b></td>
<td width=""125""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td>2006</td>
<td>US$ 1,178</td>
<td>US$ 413</td>
</tr>
<tr>
<td>2007</td>
<td>US$ 1,497</td>
<td>US$ 402</td>
</tr>
<tr>
<td>2008</td>
<td>US$ 1,579</td>
<td>US$ 400</td>
</tr>
<tr>
<td>2009</td>
<td>US$ 1,859</td>
<td>US$ 400&nbsp;</td>
</tr>
<tr>
<td>2010</td>
<td>US$ 2,138</td>
<td>US$ 423</td>
</tr>
<tr>
<td>2011</td>
<td>US$ 2,307</td>
<td>US$ 517</td>
</tr>
<tr>
<td>2012</td>
<td>US$ 2,521</td>
<td>US$ 574</td>
</tr>
<tr>
<td>2013</td>
<td>US$ 2,519</td>
<td>US$ 601</td>
</tr>
<tr>
<td>2014</td>
<td>US$ 2,853</td>
<td>US$ 679</td>
</tr>
<tr>
<td>2015</td>
<td>US$ 3,192</td>
<td>US$ 798</td>
</tr>
</tbody>
</table><br>
Predictors of cost included age at onset, hospitalization, surgery and anti-TNF medication. Annual use of biologics increased between 2006 and 2015; 39.8 –93.1% for CD patients and 0.4 – 84.5% for UC patients (<a href='https://www.tandfonline.com/doi/abs/10.1080/00365521.2019.1591498?journalCode=igas20' target='_blank'>Kim 2019</a>).<br><br>

Another study assessing incident cases between 2010 and 2012 found the following mean annual disease-associated costs.<br>
<table width=""480"">
<tbody>
<tr>
<td width=""60"">&nbsp;</td>
<td colspan=""3"" width=""210""><b>Crohn's Disease</b></td>
<td colspan=""3"" width=""210""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td><b>Year:</b></td>
<td> 1</td>
<td> 2</td>
<td> 3</td>
<td> 1</td>
<td> 2</td>
<td> 3</td>
</tr>
<tr>
<td>Total:</td>
<td>US$ 3,658</td>
<td>US$ 2,109</td>
<td>US$ 2,120</td>
<td>US$ 1,758</td>
<td>US$ 1,185</td>
<td>US$ 1,117</td>
</tr>
<tr>
<td>Biologics:</td>
<td>US$ 774</td>
<td>US$ 1,052</td>
<td>US$ 1,274</td>
<td>US$ 108</td>
<td>US$ 215</td>
<td>US$ 282</td>
</tr>
</tbody>
</table><br>
Note that South Korea is an example of a country where UC cases still exceed CD. Biologics are a cost-driver. Total cost peaked in the first year after diagnosis, then decreased.  First year costs driven by diagnostic procedures. Cost of biologics increased annually following diagnosis (<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6974324/' target='_blank'>Lee 2020</a>).</p>",NA,"<p style=""font-size: 125%"">References: <a href='https://www.tandfonline.com/doi/abs/10.1080/00365521.2019.1591498?journalCode=igas20' target='_blank'>Kim 2019</a>, <a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6974324/' target='_blank'>Lee 2020</a></p>",USD,,CP,"<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>",developing,"<p style=""font-size: 125%"">Country status: developing</p>",,,,"<p style=""font-size: 125%"">Overall Cost: </p>","<p style=""font-size: 125%"">Annual Cost of Crohn's Disease: </p>","<p style=""font-size: 125%"">Annual Cost of Ulcerative Colitis: </p>",,,,,,
20,Spain,ESP,NA,country,,,"<p style=""font-size: 150%""><b>Spain</b></p>",NA,"<p style=""font-size: 125%""><b>National:</b> A cohort consisting of prevalent ulcerative colitis cases recruited between 2002 and 2012 had the following mean annual disease-associated costs.<br>
<table width=""275"">
<tbody>
<tr>
<td width=""150"">&nbsp;</td>
<td width=""125""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td >Total:</td>
<td >&euro; 1,754</td>
</tr>
<tr>
<td >GP consult:</td>
<td >&euro; 251</td>
</tr>
<tr>
<td >GI consult:</td>
<td >&euro; 117</td>
</tr>
<tr>
<td >Hospitalization:</td>
<td >&euro; 853</td>
</tr>
<tr>
<td >Medication:</td>
<td >&euro; 497</td>
</tr>
<tr>
<td >Other:</td>
<td >&euro; 37</td>
</tr>
</tbody>
</table><br>
Most consultations were with a GP. Medications: steroids + 5-ASA = 74%, IMM = 21%. Biologics not recorded (<a href='https://www.elsevier.es/es-revista-gastroenterologia-hepatologia-14-linkresolver-costs-ulcerative-colitis-from-societal-S0210570515001107' target='_blank'>Aldeguer 2016</a>).</p>","<p style=""font-size: 125%""><b>National:</b> A cohort consisting of prevalent ulcerative colitis cases recruited between 2002 and 2012 had the following mean annual disease-associated societal costs.<br>
<table width=""275"">
<tbody>
<tr>
<td width=""150"">&nbsp;</td>
<td width=""125""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td>Productivity losses:</td>
<td>&euro; 399</td>
</tr>
<tr>
<td>Sick leave payments:</td>
<td>&euro; 311</td>
</tr>
<tr>
<td>Absenteeism:</td>
<td>&euro; 88</td>
</tr>
</tbody>
</table><br>
Indirect costs were 18.5% of total costs. Drivers of indirect costs were age, UC family history and psychological comorbidities. Indirect costs decreased with age (<a href='https://www.elsevier.es/es-revista-gastroenterologia-hepatologia-14-linkresolver-costs-ulcerative-colitis-from-societal-S0210570515001107' target='_blank'>Aldeguer 2016</a>).</p>","<p style=""font-size: 125%"">References: <a href='https://www.elsevier.es/es-revista-gastroenterologia-hepatologia-14-linkresolver-costs-ulcerative-colitis-from-societal-S0210570515001107' target='_blank'>Aldeguer 2016</a></p>",€,,AI,"<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>",developed,"<p style=""font-size: 125%"">Country status: developed</p>",,,,"<p style=""font-size: 125%"">Overall Cost: </p>","<p style=""font-size: 125%"">Annual Cost of Crohn's Disease: </p>","<p style=""font-size: 125%"">Annual Cost of Ulcerative Colitis: </p>",,,,,,
21,Sweden,SWE,NA,country,,,"<p style=""font-size: 150%""><b>Sweden</b></p>",NA,"<p style=""font-size: 125%""><b>National:</b> A cohort recruited between 2010 and 2015 had the following mean annual disease-associated costs.<br><br>
Prevalent cases:<br>
<table width=""400"">
<tbody>
<tr>
<td width=""100"">&nbsp;</td>
<td colspan=""2"" width=""150""><b>Crohn's Disease</b></td>
<td colspan=""2"" width=""150""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td>&nbsp;</td>
<td>18-64 y</td>
<td>&ge; 65 y</td>
<td>18-64 y</td>
<td>&ge; 65 y</td>
</tr>
<tr>
<td>Biologics:</td>
<td>US$ 4,495</td>
<td>US$ 1,407</td>
<td>US$ 1,471</td>
<td>US$ 436</td>
</tr>
<tr>
<td>Other meds:</td>
<td>US$ 1,335</td>
<td>US$ 1,881</td>
<td>US$ 1,387</td>
<td>US$ 1,925</td>
</tr>
<tr>
<td>Outpatient:</td>
<td>US$ 1,926</td>
<td>US$ 2,092</td>
<td>US$ 1,447</td>
<td>US$ 1,706</td>
</tr>
<tr>
<td>Hospitalization:</td>
<td>US$ 2,338</td>
<td>US$ 4,346</td>
<td>US$ 1,619</td>
<td>US$ 4,004</td>
</tr>
</tbody>
</table><br><br>
Incident cases:<br>
<table width=""400"">
<tbody>
<tr>
<td width=""100"">&nbsp;</td>
<td colspan=""2"" width=""150""><b>Crohn's Disease</b></td>
<td colspan=""2"" width=""150""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td>&nbsp;</td>
<td>18-64 y</td>
<td>&ge; 65 y</td>
<td>18-64 y</td>
<td>&ge; 65 y</td>
</tr>
<tr>
<td>Biologics:</td>
<td>US$ 2,301</td>
<td>US$ 759</td>
<td>US$ 831</td>
<td>US$ 226</td>
</tr>
<tr>
<td>Hospitalization:</td>
<td>US$ 5,152</td>
<td>US$ 10,367</td>
<td>US$ 3,204</td>
<td>US$ 7,556</td>
</tr>
</tbody>
</table><br>
64% of CD patients and 36% of UC patients recieved anti-TNF medication. There was greater expenditure on biologics for CD and in patients ages 18-64 y. Hospital charges were higher in older individuals (<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7490827/' target='_blank'>Khalili 2019</a>).</p>","<p style=""font-size: 125%""><b>National:</b> A cohort recruited between 2010 and 2015 had the following mean annual disease-associated societal costs.<br><br>
Prevalent cases:
<table width=""400"">
<tbody>
<tr>
<td width=""150"">&nbsp;</td>
<td width=""125""><b>Crohn's Disease</b></td>
<td width=""125""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td>Productivity losses:</td>
<td>US$ 12,717</td>
<td>US$ 8,209</td>
</tr>
<tr>
<td>Sick leave:</td>
<td>US$ 3,900</td>
<td>US$ 3,118</td>
</tr>
<tr>
<td>Disability pension:</td>
<td>US$ 8,816</td>
<td>US$ 5,091</td>
</tr>
</tbody>
</table><br>
Incident cases:
<table width=""400"">
<tbody>
<tr>
<td width=""150"">&nbsp;</td>
<td width=""125""><b>Crohn's Disease</b></td>
<td width=""125""><b>Ulcerative Colitis</b></td>
</tr>
<tr>
<td>Productivity losses:</td>
<td>US$ 12,102</td>
<td>US$ 8,852</td>
</tr>
<tr>
<td>Sick leave:</td>
<td>US$ 5,858</td>
<td>US$ 4,073</td>
</tr>
<tr>
<td>Disability pension:</td>
<td>US$ 6,243</td>
<td>US$ 4,778</td>
</tr>
</tbody>
</table><br>
Lost productivity accounted for 56% and 58% of the total annual societal costs of CD and UC patients, respectively. Prevalent CD patients had a mean avgerage of 63 days of sick leave per annum, while UC patients had 41 days.  Incident CD patients of working age had a mean avgerage of 29 days of sick leave per annum, while UC patients had 24 days (<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7490827/' target='_blank'>Khalili 2019</a>).</p>","<p style=""font-size: 125%"">References: <a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7490827/' target='_blank'>Khalili 2019</a></p>",USD,2015,AI,"<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>",developed,"<p style=""font-size: 125%"">Country status: developed</p>",,,,"<p style=""font-size: 125%"">Overall Cost: </p>","<p style=""font-size: 125%"">Annual Cost of Crohn's Disease: </p>","<p style=""font-size: 125%"">Annual Cost of Ulcerative Colitis: </p>",,,,,,
